FIPS,State,County
51001,VA,Accomack
51003,VA,Albemarle
51005,VA,Alleghany
51007,VA,Amelia
51009,VA,Amherst
51011,VA,Appomattox
51013,VA,Arlington
51015,VA,Augusta
51017,VA,Bath
51019,VA,Bedford
51021,VA,Bland
51023,VA,Botetourt
51025,VA,Brunswick
51027,VA,Buchanan
51029,VA,Buckingham
51031,VA,Campbell
51033,VA,Caroline
51035,VA,Carroll
51036,VA,Charles City
51037,VA,Charlotte
51041,VA,Chesterfield
51043,VA,Clarke
51045,VA,Craig
51047,VA,Culpeper
51049,VA,Cumberland
51051,VA,Dickenson
51053,VA,Dinwiddie
51057,VA,Essex
51059,VA,Fairfax
51061,VA,Fauquier
51063,VA,Floyd
51065,VA,Fluvanna
51067,VA,Franklin
51069,VA,Frederick
51071,VA,Giles
51073,VA,Gloucester
51075,VA,Goochland
51077,VA,Grayson
51079,VA,Greene
51081,VA,Greensville
51083,VA,Halifax
51085,VA,Hanover
51087,VA,Henrico
51089,VA,Henry
51091,VA,Highland
51093,VA,Isle of Wight
51095,VA,James City
51097,VA,King and Queen
51099,VA,King George
51101,VA,King William
51103,VA,Lancaster
51105,VA,Lee
51107,VA,Loudoun
51109,VA,Louisa
51111,VA,Lunenburg
51113,VA,Madison
51115,VA,Mathews
51117,VA,Mecklenburg
51119,VA,Middlesex
51121,VA,Montgomery
51125,VA,Nelson
51127,VA,New Kent
51131,VA,Northampton
51133,VA,Northumberland
51135,VA,Nottoway
51137,VA,Orange
51139,VA,Page
51141,VA,Patrick
51143,VA,Pittsylvania
51145,VA,Powhatan
51147,VA,Prince Edward
51149,VA,Prince George
51153,VA,Prince William
51155,VA,Pulaski
51157,VA,Rappahannock
51159,VA,Richmond
51161,VA,Roanoke
51163,VA,Rockbridge
51165,VA,Rockingham
51167,VA,Russell
51169,VA,Scott
51171,VA,Shenandoah
51173,VA,Smyth
51175,VA,Southampton
51177,VA,Spotsylvania
51179,VA,Stafford
51181,VA,Surry
51183,VA,Sussex
51185,VA,Tazewell
51187,VA,Warren
51191,VA,Washington
51193,VA,Westmoreland
51195,VA,Wise
51197,VA,Wythe
51199,VA,York
51510,VA,Alexandria
51515,VA,Bedford
51520,VA,Bristol
51530,VA,Buena Vista
51540,VA,Charlottesville
51550,VA,Chesapeake
51570,VA,Colonial Heights
51580,VA,Covington
51590,VA,Danville
51595,VA,Emporia
51600,VA,Fairfax
51610,VA,Falls Church
51620,VA,Franklin
51630,VA,Fredericksburg
51640,VA,Galax
51650,VA,Hampton
51660,VA,Harrisonburg
51670,VA,Hopewell
51678,VA,Lexington
51680,VA,Lynchburg
51683,VA,Manassas
51685,VA,Manassas Park
51690,VA,Martinsville
51700,VA,Newport News
51710,VA,Norfolk
51720,VA,Norton
51730,VA,Petersburg
51735,VA,Poquoson
51740,VA,Portsmouth
51750,VA,Radford
51760,VA,Richmond
51770,VA,Roanoke
51775,VA,Salem
51790,VA,Staunton
51800,VA,Suffolk
51810,VA,Virginia Beach
51820,VA,Waynesboro
51830,VA,Williamsburg
51840,VA,Winchester
