FIPS,GROC11,GROC16,PCH_GROC_11_16,GROCPTH11,GROCPTH16,PCH_GROCPTH_11_16,SUPERC11,SUPERC16,PCH_SUPERC_11_16,SUPERCPTH11,SUPERCPTH16,PCH_SUPERCPTH_11_16,CONVS11,CONVS16,PCH_CONVS_11_16,CONVSPTH11,CONVSPTH16,PCH_CONVSPTH_11_16,SPECS11,SPECS16,PCH_SPECS_11_16,SPECSPTH11,SPECSPTH16,PCH_SPECSPTH_11_16,SNAPS12,SNAPS17,PCH_SNAPS_12_17,SNAPSPTH12,SNAPSPTH17,PCH_SNAPSPTH_12_17,WICS11,WICS16,PCH_WICS_11_16,WICSPTH11,WICSPTH16,PCH_WICSPTH_11_16
51001,11,9,-18.18181818,0.331105894,0.274239746,-17.17461039,1,1,0,0.0301005,0.0304711,1.231031751,28,32,14.28571429,0.842815002,0.975074654,15.69260772,4,3,-25,0.120402143,0.091413249,-24.07672619,39.75,47.08333333,18.44863732,1.192225788,1.446714805,21.34570646,8,5,-37.5,0.2408115417,0.152207002,-36.79413986
51003,17,19,11.76470588,0.169560837,0.178539547,5.295272903,1,3,200,0.0099742,0.0281905,182.6346799,57,52,-8.771929825,0.568527514,0.488634548,-14.05261196,3,6,100,0.0299225,0.0563809,88.42311993,44.5,52.75,18.53932584,0.4352035677,0.4897773486,12.53982848,9,8,-11.11111069,0.08981856704,0.07518231869,-16.29534912
51005,3,3,0,0.185666543,0.195160031,5.113192818,0,0,0,0,0,0,10,8,-20,0.618888476,0.52042675,-15.90944575,0,0,0,0,0,0,17.41666667,11.5,-33.97129187,1.073115629,0.7604814178,-29.13332013,1,2,100,0.0618850179,0.1300474703,110.1437073
51007,1,1,0,0.078419072,0.077942323,-0.607950117,0,0,0,0,0,0,6,4,-33.33333333,0.470514429,0.311769291,-33.73863341,1,0,-100,0.078419072,0,-100,10.25,8,-21.95121951,0.8033544949,0.6144393241,-23.51579184,1,1,0,0.07841907442,0.07816775143,-0.3204870522
51009,6,6,0,0.186857677,0.18947169,1.398932643,1,1,0,0.0311429,0.0315786,1.398932643,21,21,0,0.654001869,0.663150914,1.398932643,1,0,-100,0.0311429,0,-100,28.75,32.33333333,12.46376812,0.8877840909,1.023401068,15.27589627,4,4,0,0.1244206652,0.125435099,0.8153257966
51011,3,1,-66.66666667,0.198622881,0.064495324,-67.52875417,1,1,0,0.066207627,0.064495324,-2.586262496,9,10,11.11111111,0.595868644,0.644953241,8.237486116,1,0,-100,0.066207627,0,-100,10.58333333,13.25,25.19685039,0.6995857571,0.8449716217,20.78170734,3,2,-33.33333206,0.1985702962,0.1289324462,-35.06962204
51013,42,46,9.523809524,0.194058125,0.198609732,2.345486357,1,1,0,0.00462043,0.0043176,-6.554121152,74,64,-13.51351351,0.341911935,0.276326583,-19.18194262,13,12,-7.692307692,0.0600656,0.0518112,-13.74226568,78.33333333,88.66666667,13.19148936,0.3543773138,0.3773611673,6.48570113,7,11,57.1428566,0.03241160884,0.04749937356,46.55049515
51015,10,11,10,0.135793919,0.147109958,8.333244176,0,0,0,0,0,0,35,36,2.857142857,0.475278717,0.481450772,1.298617931,3,4,33.33333333,0.0407382,0.0534945,31.31302324,41.25,38.33333333,-7.070707071,0.5600206359,0.5101316583,-8.908417723,4,4,0,0.05431978032,0.0534809418,-1.544259787
51017,1,1,0,0.214822771,0.226603218,5.48379787,0,0,0,0,0,0,6,4,-33.33333333,1.288936627,0.906412871,-29.67746809,1,0,-100,0.214822771,0,-100,2,3,50,0.4299226139,0.698161508,62.39236677,,,,,,
51019,11,7,-36.36363636,0.145579672,0.089941923,-38.21807529,1,0,-100,0.0132345,0,-100,30,23,-23.33333333,0.397035469,0.295523462,-25.56749071,3,2,-33.33333333,0.0397035,0.0256977,-35.27607888,34.91666667,48,37.47016706,0.5017483355,0.615589812,22.68895947,7,6,-14.28571415,0.09264528751,0.07701095194,-16.87547874
51021,0,1,,0,0.154440154,,0,0,0,0,0,0,5,4,-20,0.737898465,0.617760618,-16.28108108,0,0,0,0,0,0,6,4,-33.33333333,0.8904719501,0.6299212598,-29.25984252,1,1,0,0.1476232708,0.1545117497,4.666255474
51023,5,6,20,0.151524335,0.180995475,19.44977376,0,0,0,0,0,0,20,19,-5,0.606097339,0.573152338,-5.435595777,0,0,0,0,0,0,21.91666667,21,-4.182509506,0.6610564839,0.6326825741,-4.29220656,3,3,0,0.09091184288,0.09042409062,-0.5365112424
51025,2,2,0,0.116747417,0.122887865,5.259600614,0,0,0,0,0,0,16,16,0,0.933979336,0.983102919,5.259600614,0,0,0,0,0,0,16.41666667,14.83333333,-9.644670051,0.9651185577,0.9131576787,-5.383885592,2,1,-50,0.116781503,0.06008893251,-48.54584885
51027,7,8,14.28571429,0.293895373,0.361958194,23.15886087,1,1,0,0.0419851,0.0452448,7.764003258,12,18,50,0.50382064,0.814405936,61.64600489,1,0,-100,0.0419851,0,-100,31.33333333,26.25,-16.22340426,1.313271023,1.220135726,-7.091856564,4,4,0,0.1679472625,0.1808481812,7.681529522
51029,2,2,0,0.116198001,0.117233294,0.890973036,0,0,0,0,0,0,13,15,15.38461539,0.755287009,0.879249707,16.4126612,0,0,0,0,0,0,13.58333333,15.41666667,13.49693252,0.7949048065,0.903408536,13.6499023,3,2,-33.33333206,0.1743273884,0.1173571199,-32.68004608
51031,9,10,11.11111111,0.164260554,0.181225082,10.32781604,1,1,0,0.0182512,0.0181225,-0.704965567,40,38,-5,0.730046906,0.68865531,-5.669717289,1,3,200,0.0182512,0.0543675,197.8851033,52.41666667,52.33333333,-0.1589825119,0.9502142136,0.9513421802,0.1187065569,6,7,16.66666603,0.1095290259,0.1267358214,15.70980453
51033,3,3,0,0.104613453,0.099763892,-4.635695521,0,0,0,0,0,0,15,20,33.33333333,0.523067266,0.665092614,27.15240597,3,2,-33.33333333,0.104613453,0.066509261,-36.42379701,21.33333333,26.25,23.046875,0.7363431359,0.8617576573,17.03207585,2,2,0,0.06974473596,0.06650483608,-4.645368099
51035,2,4,100,0.066462847,0.13468467,102.6465538,0,0,0,0,0,0,27,27,0,0.897248438,0.909121519,1.323276878,2,2,0,0.066462847,0.067342335,1.323276878,32.16666667,37.33333333,16.06217617,1.077574174,1.256676092,16.62084357,5,2,-60,0.1661571115,0.06723140925,-59.53744888
