FIPS,state,county,food_banks_2018,rec_and_fitness_facilities_2016,avg_SNAP_redemption_amt_store_2017,diabetes_rate_2013,grocery_proximity_2015,grocery_proximity_2015_LI
51001,VA,Accomack,0,2,142246.1667,13.6,1700.336105,693.8801718
51003,VA,Albemarle,0,16,167181.5647,7.6,15278.65979,3617.909176
51005,VA,Alleghany,0,0,106181.5887,11,2157.569549,768.1735798
51007,VA,Amelia,0,0,138853.1463,11.8,2089.263825,730.4913975
51009,VA,Amherst,0,1,146892.159,12.7,5432.82799,1989.886501
51011,VA,Appomattox,0,2,253185.1706,11.6,332.4045417,105.3695989
51013,VA,Arlington,0,49,80461.21635,4.2,4485.108839,174.3344406
51015,VA,Augusta,1,5,72637.73791,11.6,9683.205955,3037.377169
51017,VA,Bath,0,0,,10.9,1052.370084,435.9848014
51019,VA,Bedford,0,5,101565.434,11.1,6731.244814,1154.617593
51021,VA,Bland,0,0,44020.9225,10,1307.354636,580.3655388
51023,VA,Botetourt,0,4,60588.25571,11.1,11599.78728,2793.367537
51025,VA,Brunswick,0,0,135843.3297,12,3505.532698,688.7620552
51027,VA,Buchanan,0,1,230270.4248,14.6,,
51029,VA,Buckingham,0,0,149422.2623,14.3,1443.639141,764.1676683
51031,VA,Campbell,0,6,146693.1067,11,8057.073717,2170.639241
51033,VA,Caroline,0,1,105637.2088,10.5,1368.974415,355.5765545
51035,VA,Carroll,0,1,61728.96321,12.3,1441.168551,527.5552046
51036,VA,Charles City,0,0,,14.2,166.770861,39.73911874
51037,VA,Charlotte,0,0,111822.0528,12,4240.737207,1891.704868
51041,VA,Chesterfield,0,41,251227.1836,9.1,115426.3362,22840.32284
51043,VA,Clarke,0,0,36481.97244,10.7,177.7689219,40.2447104
51045,VA,Craig,0,0,79890.164,10.7,583.2464409,222.2696075
51047,VA,Culpeper,0,8,200906.9528,10.6,2632.838902,661.0404541
51049,VA,Cumberland,0,0,55419.782,13.8,5546.871862,2404.366011
51051,VA,Dickenson,0,0,121079.738,10.4,,
51053,VA,Dinwiddie,0,1,179756.2111,11.4,7678.215588,2131.194177
51057,VA,Essex,0,1,282684.616,14.1,2619.139019,1120.994102
51059,VA,Fairfax,0,165,187065.597,6.2,205554.3701,19230.21468
51061,VA,Fauquier,0,7,107881.1964,10.3,8209.022694,740.7284389
51063,VA,Floyd,0,1,111557.8044,9.5,4208.112451,1574.834157
51065,VA,Fluvanna,0,2,78315.4043,11.1,6380.817273,674.9876449
51067,VA,Franklin,0,7,155633.9679,11.1,8349.988357,3643.12982
51069,VA,Frederick,0,5,183662.3138,9.3,16247.54155,2841.38936
51071,VA,Giles,0,0,147081.2884,10.6,152.9118443,55.61970168
51073,VA,Gloucester,0,5,179538.8827,11.1,3765.015105,1058.033108
51075,VA,Goochland,0,1,74903.86137,11.5,3311.285715,746.0258723
51077,VA,Grayson,0,0,65135.56317,11,2826.694051,1453.28591
51079,VA,Greene,0,2,277805.901,9.9,0,0
51081,VA,Greensville,0,0,253278.7227,14.1,1008.303289,488.6913976
51083,VA,Halifax,0,2,193469.382,15.9,8496.036928,4057.473822
51085,VA,Hanover,0,18,198407.2001,9.4,21762.92546,3547.317365
51087,VA,Henrico,0,58,205079.3144,9.7,64088.78293,12083.71072
51089,VA,Henry,0,6,114810.7662,15.1,9194.48648,3967.008931
51091,VA,Highland,0,0,,12.4,2321.000012,738.3621853
51093,VA,Isle of Wight,0,4,126983.8358,12.6,5800.640526,785.2110363
51095,VA,James City,0,14,134224.2975,10.5,23479.6654,4741.581988
51097,VA,King and Queen,0,0,,12.2,537.4667907,243.4787377
51099,VA,King George,0,3,182716.3185,9.3,,
51101,VA,King William,0,0,175075.6602,10.3,1741.653571,523.5724927
51103,VA,Lancaster,0,1,164252.8408,13.8,367.6211981,164.4146111
51105,VA,Lee,0,0,197008.0054,12.1,18.60144542,8.335056144
51107,VA,Loudoun,0,51,121088.9941,6.9,40493.13642,2372.438893
51109,VA,Louisa,0,1,206863.173,10.9,778.8507077,232.4747512
51111,VA,Lunenburg,0,0,265716.1018,13.2,7.408117516,2.384303634
51113,VA,Madison,0,2,76571.758,11.4,375.7327324,151.5068498
51115,VA,Mathews,0,2,121116.104,11.9,0,0
51117,VA,Mecklenburg,0,2,146851.9764,13.7,3019.261435,1266.854673
51119,VA,Middlesex,0,1,121099.1268,12.4,116.9781227,27.02342714
51121,VA,Montgomery,0,13,120386.6074,6.8,13785.35222,3325.840413
51125,VA,Nelson,0,1,116953.7958,12.9,1085.548114,465.6761601
51127,VA,New Kent,0,1,127321.5898,9.9,0,0
51131,VA,Northampton,0,1,159312.5352,14.6,206.9492402,50.46727174
51133,VA,Northumberland,0,0,113786.8071,14.8,1150.063023,118.038778
51135,VA,Nottoway,0,0,159681.4205,14,8927.255893,4784.622447
51137,VA,Orange,0,3,132066.8495,10.1,8426.414959,2529.358027
51139,VA,Page,0,0,169249.9738,10.9,967.2852372,349.3233328
51141,VA,Patrick,0,1,136643.13,12.5,1742.239614,869.2765463
51143,VA,Pittsylvania,0,0,66680.54827,14.3,9948.039834,3705.889407
51145,VA,Powhatan,0,3,288835.0814,10.7,2701.448261,441.2684929
51147,VA,Prince Edward,0,1,261465.1165,11.4,4939.837969,2913.895124
51149,VA,Prince George,0,2,159719.7747,12.3,11104.20196,3588.644118
51153,VA,Prince William,0,54,222705.3781,7.9,87198.52985,13468.07084
51155,VA,Pulaski,0,4,189225.6055,13.7,5242.476447,2230.496747
51157,VA,Rappahannock,0,0,,11.7,5513.710174,1516.389753
51159,VA,Richmond,0,2,187032.0188,11.6,473.1227178,184.2534436
51161,VA,Roanoke,0,16,182600.776,11.5,18650.44538,3074.929529
51163,VA,Rockbridge,0,0,140664.7598,11.4,4503.16268,1203.236188
51165,VA,Rockingham,0,5,105491.1057,9.9,16615.39695,4641.319514
51167,VA,Russell,0,0,192482.441,11.5,1533.735243,677.8567678
51169,VA,Scott,0,0,148115.7962,14.1,2456.101168,921.7117506
51171,VA,Shenandoah,0,2,115685.9053,10.5,2906.856385,1220.234469
51173,VA,Smyth,0,2,165120.2858,9.7,3913.861842,1998.199258
51175,VA,Southampton,0,0,69780.16909,12.6,4170.712761,2562.071429
51177,VA,Spotsylvania,1,11,181653.1668,12.6,28676.07321,5023.764312
51179,VA,Stafford,0,11,172918.2764,8.3,33223.42197,4424.986522
51181,VA,Surry,0,0,24421.29708,14,2111.160282,728.4755712
51183,VA,Sussex,0,1,73856.0325,13.5,6463.228803,2228.624752
51185,VA,Tazewell,0,1,357219.5835,15.3,8591.196076,3773.316178
51187,VA,Warren,0,5,186701.6359,10.6,4459.503175,1173.235765
51191,VA,Washington,0,2,210498.497,13.1,6273.914292,1863.309934
51193,VA,Westmoreland,0,1,146849.2068,13.5,1012.960746,359.3804655
51195,VA,Wise,0,2,194992.4263,12.1,3456.136069,1528.420427
51197,VA,Wythe,0,2,136231.6461,12.1,1165.902196,507.2557757
51199,VA,York,0,9,171687.0449,9.5,20778.96163,2799.210571
51510,VA,Alexandria,0,29,195722.4839,6.2,,
51515,VA,Bedford,0,0,,,539.6586974,
51520,VA,Bristol,0,4,235852.1305,10.5,4843.751717,2693.8433
51530,VA,Buena Vista,0,1,121319.6187,9.7,6102.940729,3502.33251
51540,VA,Charlottesville,0,13,118043.4816,8.3,3192.379094,1407.563221
51550,VA,Chesapeake,0,31,214883.0529,10.2,45111.95385,10926.51611
51570,VA,Colonial Heights,0,2,540776.7225,11.6,3198.708947,516.184852
51580,VA,Covington,0,1,230583.6972,10.7,1240.295794,584.2269953
51590,VA,Danville,0,7,283700.5204,15.3,5596.754802,2495.135119
51595,VA,Emporia,0,1,,13.4,55.98804055,35.29736118
51600,VA,Fairfax,0,17,112788.3325,7.5,603.9488542,35.34819363
51610,VA,Falls Church,0,8,120893.2419,10.2,,
51620,VA,Franklin,0,1,389365.9573,14.9,5025.12923,2437.674395
51630,VA,Fredericksburg,0,4,215058.1717,8.9,2115.13995,475.7986078
51640,VA,Galax,0,0,393285.1678,10.8,206.0480728,83.68524068
51650,VA,Hampton,1,15,244744.2215,12.4,41215.75111,14175.16892
51660,VA,Harrisonburg,0,6,182407.1133,6.7,1294.426616,541.2634971
51670,VA,Hopewell,0,4,210796.1445,13.6,8232.641078,2913.326521
51678,VA,Lexington,0,1,99268.2,8.1,434.1500327,83.19005774
51680,VA,Lynchburg,0,14,229267.7435,11.3,12529.69318,6535.619636
51683,VA,Manassas,0,10,217503.8866,8.2,2114.380786,365.6251405
51685,VA,Manassas Park,0,3,,7.9,5320.760013,1566.83387
51690,VA,Martinsville,0,3,454443.5734,12.8,3151.616572,1399.057602
51700,VA,Newport News,0,29,240790.8796,12.7,40758.59362,11426.2839
51710,VA,Norfolk,1,22,262339.4709,9.2,48194.11178,20103.26315
51720,VA,Norton,0,0,391585.2714,9.6,252.2032843,86.67162792
51730,VA,Petersburg,0,3,215278.5891,15.6,11993.23585,6657.859184
51735,VA,Poquoson,0,1,59950.51065,11.5,5211.716287,609.3368695
51740,VA,Portsmouth,0,7,273299.4698,14,16355.99669,3762.883246
51750,VA,Radford,0,1,280319.6574,6.9,2599.945535,1170.354758
51760,VA,Richmond,1,28,174712.5277,10.3,43858.24845,15999.35067
51770,VA,Roanoke,0,14,217144.5136,11.9,17852.41359,7516.340418
51775,VA,Salem,1,2,188049.8898,9.3,10430.97751,2874.229051
51790,VA,Staunton,0,4,188105.76,10.2,1352.618849,358.3820905
51800,VA,Suffolk,0,7,253703.5923,10.9,18259.14261,4847.346786
51810,VA,Virginia Beach,0,59,167554.0162,8,71829.11484,11452.23292
51820,VA,Waynesboro,0,5,234247.278,9.5,2565.413951,748.5500209
51830,VA,Williamsburg,0,2,83777.40778,8.9,2213.345051,556.162646
51840,VA,Winchester,0,8,238630.2499,8.9,4313.938884,800.1279105
